"Program","xPONENT","","FlexMAP 3D"
"Build","4.3.229.0"
"Date","07/21/2020","9:35 AM"

"SN","FM3DD20029021"
"Batch","200721_Ciao_33_IgA_G_M"
"Version","1"
"Operator",""
"ComputerName","DESKTOP-FVNKTLP"
"Country Code","7F"
"ProtocolName","Plasmapheresis erweiterter batch"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany","MS"
"SampleVolume","50 uL"
"DDGate","7500 to 19000"
"SampleTimeout","0 sec"
"BatchStartTime","7/21/2020 2:36:39 PM"
"BatchStopTime","7/21/2020 2:48:31 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","FlexMAP 3D Map","Type","MagPlex","Count","6"
"ProtocolReporterGain","Standard PMT"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last F3DeCAL1 Calibration","Passed 07/20/2020 17:29:03"
"Last F3DCAL2 Calibration","Passed 07/20/2020 17:29:52"
"Last F3DCAL3 Calibration","Passed 07/20/2020 17:30:08"
"Last F3DeVER1 Verification","Passed 07/20/2020 17:31:53"
"Last F3DVER2 Verification","Passed 07/20/2020 17:32:40"
"Last Fluidics Test","Passed 07/20/2020 17:33:26"
""
"CALInfo:"
"Classification Calibrator Extended"
"Lot","ExpirationDate","CalibrationTime","DDTemp","CL1Temp","CL2Temp","CL3Temp","DDVolts","CL1Volts","CL2Volts","CL3Volts","DDRVal","CL1RVal","CL2RVal","CL3RVal","Result","MachineSerialNo"
"B76243","07/22/2021","7/20/2020 5:28:43 PM","25.97","26.07","25.47","26.02","68.1","107.86","116.11","110.7","395","946","1268","1057","Pass","FM3DD20029021"
"B75509","07/08/2021","7/20/2020 5:29:11 PM","25.91","25.99","25.47","25.97","42.1","107.65","116.01","110.5","182","942","1263","1051","Pass","FM3DD20029021"
"Reporter Calibrator"
"Lot","ExpirationDate","CalibrationTime","RP1(1)Volts","RP1(1)Val","RP1(2)Volts","RP1(2)Val","Result","MachineSerialNo"
"B76719","09/29/2021","7/20/2020 5:29:59 PM","574.07","3361","708.17","15327.5","Pass","FM3DD20029021"
"Lot","ExpirationDate","CalibrationTime","RP1Volts","RP1Val","Result","MachineSerialNo"
"B76720","09/29/2021","7/20/2020 5:30:16 PM","708.11","15259","Pass","FM3DD20029021"


"Samples","63","Min Events","100","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","NP","RBD","S1","HKU1","S2","Empty","Total Events"
"4(1,D1)","Unknown4","117","150","166","131","112","50","726"
"5(1,E1)","Unknown5","83","81","99","71","76","50","460"
"6(1,F1)","Unknown6","111","171","179","129","121","50","761"
"7(1,G1)","Unknown7","96","117","153","96","112","50","624"
"8(1,H1)","Unknown8","105","105","123","76","83","50","542"
"9(1,A2)","Unknown9","66","90","91","79","85","50","461"
"10(1,B2)","Unknown10","89","96","96","94","71","50","496"
"11(1,C2)","Unknown11","68","88","81","62","77","50","426"
"12(1,D2)","Unknown12","85","110","137","94","118","50","594"
"13(1,E2)","Unknown13","73","93","79","58","65","50","418"
"14(1,F2)","Unknown14","96","88","110","71","97","50","512"
"15(1,G2)","Unknown15","64","81","124","81","91","50","491"
"16(1,H2)","Unknown16","97","107","125","84","93","50","556"
"17(1,A3)","Unknown17","85","121","121","81","85","50","543"
"18(1,B3)","Unknown18","72","69","98","82","65","50","436"
"19(1,C3)","Unknown19","90","80","112","66","89","50","487"
"20(1,D3)","Unknown20","71","100","112","86","62","50","481"
"21(1,E3)","Unknown21","72","104","99","100","67","50","492"
"33(1,A5)","Unknown33","70","105","84","57","70","50","436"
"34(1,B5)","Unknown34","72","70","79","56","50","50","377"
"35(1,C5)","Unknown35","87","90","132","87","101","50","547"
"36(1,D5)","Unknown36","70","95","97","72","68","50","452"
"37(1,E5)","Unknown37","72","105","108","87","71","50","493"
"38(1,F5)","Unknown38","64","89","113","84","98","50","498"
"39(1,G5)","Unknown39","91","105","119","69","92","50","526"
"40(1,H5)","Unknown40","85","90","107","78","92","50","502"
"41(1,A6)","Unknown41","77","92","80","68","77","50","444"
"42(1,B6)","Unknown42","63","74","97","90","69","50","443"
"43(1,C6)","Unknown43","81","111","116","101","90","50","549"
"44(1,D6)","Unknown44","74","108","116","91","80","50","519"
"45(1,E6)","Unknown45","50","73","89","62","67","56","397"
"46(1,F6)","Unknown46","65","72","80","74","52","50","393"
"47(1,G6)","Unknown47","56","58","65","52","51","50","332"
"48(1,H6)","Unknown48","83","107","125","83","103","50","551"
"49(1,A7)","Unknown49","73","78","92","62","79","50","434"
"50(1,B7)","Unknown50","53","52","73","50","54","62","344"
"51(1,C7)","Unknown51","51","60","73","68","73","50","375"
"52(1,D7)","Unknown52","83","92","102","93","85","50","505"
"53(1,E7)","Unknown53","69","78","84","84","76","50","441"
"65(1,A9)","Unknown65","50","73","65","56","60","53","357"
"66(1,B9)","Unknown66","82","82","119","73","94","50","500"
"67(1,C9)","Unknown67","78","101","118","64","95","50","506"
"68(1,D9)","Unknown68","68","115","119","90","72","50","514"
"69(1,E9)","Unknown69","66","101","96","89","90","50","492"
"70(1,F9)","Unknown70","66","106","110","69","60","50","461"
"71(1,G9)","Unknown71","84","89","138","90","98","50","549"
"72(1,H9)","Unknown72","58","95","111","64","80","50","458"
"73(1,A10)","Unknown73","85","73","100","76","72","50","456"
"74(1,B10)","Unknown74","73","88","100","66","81","50","458"
"75(1,C10)","Unknown75","50","68","73","58","50","50","349"
"76(1,D10)","Unknown76","52","74","89","56","76","50","397"
"77(1,E10)","Unknown77","71","69","81","66","55","50","392"
